,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,La Ronge,90,CA,1601601191,61,55.1,-105.28,8,1
1,Jamestown,90,US,1601601193,87,42.1,-79.24,9.44,2.6
2,Smithers,40,CA,1601601195,59,54.78,-127.17,19,2.1
3,Albany,23,US,1601601198,69,42.6,-73.97,12.78,1.81
4,Tuktoyaktuk,90,CA,1601601200,100,69.45,-133.04,4,5.7
5,Busselton,79,AU,1601601202,69,-33.65,115.33,13.89,6.17
6,Raudeberg,54,NO,1601601204,49,61.99,5.14,15.56,5.19
7,Tasiilaq,100,GL,1601601206,98,65.61,-37.64,0,13.9
8,Severo-Kuril'sk,100,RU,1601601209,74,50.68,156.12,10.42,2.37
9,East London,100,ZA,1601601211,73,-33.02,27.91,14.7,7.14
10,Saldanha,100,ZA,1601601214,81,-33.01,17.94,12,2.6
11,Rikitea,0,PF,1601601216,79,-23.12,-134.97,23.05,8.44
12,Sumbe,83,AO,1601601218,88,-11.21,13.84,21.89,2.99
13,Newport,100,GB,1601601220,97,51.59,-3.0,10.56,8.59
14,Yulara,0,AU,1601601222,12,-25.24,130.99,29,1.5
15,Phan Thiet,100,VN,1601601224,77,10.93,108.1,27.79,1.56
16,Ushuaia,75,AR,1601601227,92,-54.8,-68.3,-1,9.3
17,Bengkulu,99,ID,1601601216,90,-3.8,102.27,25,4.14
18,Arraial do Cabo,0,BR,1601601128,85,-22.97,-42.03,23.59,11.53
19,Pisco,1,PE,1601601233,82,-13.7,-76.22,17,9.8
20,Nālūt,1,LY,1601601235,20,30.33,10.85,26.97,4.89
21,San Cristobal,78,VE,1601601237,88,7.77,-72.22,19.49,0.71
22,Hermanus,100,ZA,1601601239,77,-34.42,19.23,12.78,3.13
23,Kumul,100,CN,1601601242,40,42.8,93.45,9.82,6.4
24,Ancud,61,CL,1601601244,64,-41.87,-73.82,5,3.6
25,Punta Arenas,0,CL,1601601247,91,-53.15,-70.92,0,4.6
26,Khatanga,100,RU,1601601249,98,71.97,102.5,0.68,5.17
27,Rumoi,75,JP,1601601251,87,43.93,141.64,15,1
28,Westerland,100,DE,1601601253,82,54.91,8.3,14,5.7
29,Saint Paul Harbor,90,US,1601601255,87,57.79,-152.41,10,10.8
30,Daru,100,PG,1601601257,72,-9.08,143.21,26,7.37
31,Bluff,100,NZ,1601601259,57,-46.6,168.33,13.89,4.47
32,Cape Town,40,ZA,1601601261,58,-33.93,18.42,14.44,9.8
33,Pierre,1,US,1601601264,43,44.37,-100.35,11,3.1
34,Kamenka,100,RU,1601601265,64,51.32,42.77,9.44,0.45
35,Butaritari,0,KI,1601601268,72,3.07,172.79,27.25,5.89
36,Ilhabela,65,BR,1601601270,63,-23.78,-45.36,27.58,2.58
37,Port Alfred,97,ZA,1601601251,71,-33.59,26.89,14.3,9.08
38,Airai,0,TL,1601601274,50,-8.93,125.41,23.14,2.97
39,Qaanaaq,82,GL,1601601276,79,77.48,-69.36,-9.85,2.24
40,Porto-Novo,4,BJ,1601601278,88,6.5,2.6,24.15,2.78
41,Puerto Ayora,98,EC,1601601280,86,-0.74,-90.35,20,4.02
42,Riyadh,0,SA,1601601190,19,24.69,46.72,26,2.6
43,Laem Sing,63,TH,1601601284,94,12.48,102.07,28.33,1.51
44,Tessalit,0,ML,1601601287,13,20.2,1.01,31.13,6.15
45,George Town,20,MY,1601601289,88,5.41,100.34,27,2.6
46,Bud,75,US,1601601291,62,39.45,-86.18,12.22,3.6
47,Bahār,0,IR,1601601293,66,34.91,48.44,9.57,0.43
48,Provideniya,90,RU,1601601296,93,64.38,-173.3,4,7
49,Port Elizabeth,90,ZA,1601601280,58,-33.92,25.57,15,7.7
50,Avarua,0,CK,1601601300,83,-21.21,-159.78,27,6.2
51,Kruisfontein,100,ZA,1601601303,81,-34.0,24.73,12.78,4.02
52,Saint-Philippe,2,RE,1601601305,60,-21.36,55.77,21,3.1
53,Atuona,4,PF,1601601307,76,-9.8,-139.03,25.84,9.06
54,Mataura,72,NZ,1601601309,57,-46.19,168.86,13.89,4.47
55,Kapaa,1,US,1601601311,62,22.08,-159.32,30,4.1
56,Nikolskoye,73,RU,1601601313,87,59.7,30.79,8.89,4
57,Mar del Plata,40,AR,1601601174,76,-38.0,-57.56,9.44,4.6
58,Kantang,20,TH,1601601317,100,7.41,99.52,24,2.53
59,Ryōtsu-minato,96,JP,1601601320,68,38.08,138.43,21,1
60,Biak,100,ID,1601601322,72,-0.91,122.88,27.78,3.96
61,Faya,34,SA,1601601324,48,18.39,42.45,17,1.4
62,Mangaldai,75,IN,1601601326,100,26.43,92.03,26,0.24
63,Fairbanks,1,US,1601601249,25,64.84,-147.72,19,2.6
64,Hilo,75,US,1601601331,78,19.73,-155.09,28,2.1
65,Shiyan,100,CN,1601601333,91,32.65,110.78,18.56,1.55
66,Requena,100,ES,1601601335,68,39.49,-1.1,16.11,1.34
67,Hailar,100,CN,1601601337,90,49.2,119.7,6.06,4.61
68,Chaozhou,0,CN,1601601339,69,23.67,116.64,26,3
69,Marabu,40,MY,1601601341,88,4.41,114.01,26,2.1
70,Zelenoborskiy,15,RU,1601601343,92,66.84,32.36,8.45,1.6
71,Auki,0,SB,1601601273,59,-8.77,160.7,29.83,1.66
72,Vaini,75,TO,1601601266,88,-21.2,-175.2,25,5.1
73,Vila Velha,25,BR,1601601349,78,-20.33,-40.29,25,7.2
74,Bathsheba,75,BB,1601601280,78,13.22,-59.52,28,7.7
75,Nioro,22,GM,1601601353,91,13.35,-15.75,25.02,2.77
76,Moindou,100,NC,1601601356,39,-21.69,165.68,28,5.7
77,Naze,40,JP,1601601358,69,28.37,129.48,28,6.7
78,New Norfolk,49,AU,1601601319,55,-42.78,147.06,19.44,4.02
79,Bredasdorp,100,ZA,1601601161,62,-34.53,20.04,14,8.7
80,Gushikawa,1,JP,1601601364,74,26.35,127.87,27,4.6
81,Cabo San Lucas,5,MX,1601601291,70,22.89,-109.91,32,7.7
82,Ambulu,60,ID,1601601368,71,-8.35,113.61,28.03,1.2
83,Carnarvon,76,AU,1601601370,68,-24.87,113.63,20,5.1
84,Lagoa,100,PT,1601601372,85,39.05,-27.98,20.11,6.58
85,Matias Barbosa,12,BR,1601601375,54,-21.87,-43.32,24.52,1.26
86,Sovetskaya Gavan',0,RU,1601601377,55,48.97,140.29,14.56,0.35
87,Marzuq,0,YE,1601601379,65,14.4,46.47,22.34,0.1
88,Hohhot,0,CN,1601601372,55,40.81,111.65,4,2
89,Norman Wells,75,CA,1601601383,87,65.28,-126.83,7,1.5
90,Yur’yevets,74,RU,1601601385,87,57.32,43.1,10.98,1.45
91,Abu Samrah,0,SY,1601601387,90,35.3,37.18,16.93,2.24
92,Nemuro,75,JP,1601601389,82,43.32,145.57,16,0.5
93,Faanui,0,PF,1601601275,78,-16.48,-151.75,26.06,8.29
94,Mossamedes,18,AO,1601601393,87,-15.2,12.15,16.1,1.12
95,Tateyama,20,JP,1601601396,69,34.98,139.87,23.89,3.6
96,Castro Urdiales,75,ES,1601601398,93,43.38,-3.22,15.56,1
97,Ponta do Sol,75,PT,1601601400,68,32.67,-17.1,21,1.5
98,Atasū,9,KZ,1601601402,67,48.68,71.64,5.29,3.65
99,Port Hedland,81,AU,1601601404,27,-20.32,118.57,31,4.6
100,Jumla,0,NP,1601601406,56,29.27,82.18,12.18,1.96
101,Mkushi,0,ZM,1601601409,41,-13.62,29.39,17.88,1.38
102,Kavieng,100,PG,1601601293,83,-2.57,150.8,26.83,6.65
103,Mahébourg,20,MU,1601601413,93,-20.41,57.7,18,2.6
104,Hamilton,40,US,1601601212,47,39.18,-84.53,14,7.7
105,Káto Miliá,0,GR,1601601417,71,40.25,22.34,15.56,2.1
106,Yellowknife,90,CA,1601601255,70,62.46,-114.35,8,4.1
107,Røros,98,NO,1601601421,87,62.57,11.38,8,3.1
108,Srednekolymsk,86,RU,1601601423,65,67.45,153.68,4.53,6.11
109,Saskylakh,100,RU,1601601426,91,71.92,114.08,-3.4,8.46
110,Mnogovershinnyy,0,RU,1601601428,63,53.94,139.92,9.77,0.97
111,Chuguyevka,100,RU,1601601430,65,44.17,133.86,13.08,2.23
112,Chokurdakh,97,RU,1601601302,84,70.63,147.92,0.53,2.49
113,Zyryanka,100,RU,1601601434,57,65.75,150.85,6.66,6.54
114,Hofn,39,IS,1601601437,57,64.25,-15.21,7.17,3.82
115,Vanavara,40,RU,1601601439,96,60.34,102.28,-1.79,1.36
116,Souillac,20,MU,1601601441,93,-20.52,57.52,18,2.6
117,Aklavik,75,CA,1601601443,81,68.22,-135.01,7,4.1
118,Sakakah,0,SA,1601601445,17,29.97,40.21,25,3.6
119,Castro,0,BR,1601601447,54,-24.79,-50.01,22.11,1.21
120,Katangli,0,RU,1601601450,64,51.71,143.23,11.58,2.19
121,Ostrovnoy,80,RU,1601601452,92,68.05,39.51,8.88,5.18
122,Lianhe,100,CN,1601601454,91,47.13,129.27,7.86,0.5
123,Dongsheng,0,CN,1601601456,52,39.82,109.98,7.13,0.48
124,Sibu,40,MY,1601601459,88,2.3,111.82,26,3.1
125,Hong Kong,39,HK,1601601461,78,22.29,114.16,27.78,0.45
126,Barrow,90,US,1601601260,86,71.29,-156.79,1,6.7
127,Leningradskiy,100,RU,1601601289,95,69.38,178.42,2.59,7.34
128,Hambantota,40,LK,1601601467,100,6.12,81.12,24,1.5
129,Tiébissou,75,CI,1601601469,94,7.16,-5.23,23,2.1
130,Solnechnyy,0,RU,1601601472,60,50.72,136.63,12.05,1.59
131,Alofi,40,NU,1601601474,78,-19.06,-169.92,28,3.1
132,Atar,0,MR,1601601395,19,20.52,-13.05,32.79,4.97
133,Bambous Virieux,20,MU,1601601478,93,-20.34,57.76,19.44,2.6
134,Guerrero Negro,0,MX,1601601465,44,27.98,-114.06,28.15,6.48
135,Bara,30,NG,1601601483,93,10.37,10.73,22.8,1.81
136,Padang,100,ID,1601601257,86,-0.95,100.35,24.56,0.22
137,La Asuncion,100,VE,1601601487,83,11.03,-63.86,27.42,5.43
138,Lebu,1,CL,1601601490,83,-37.62,-73.65,7.99,3.8
139,San Ramon,1,US,1601601492,16,37.78,-121.98,34,2.6
140,Tupik,100,RU,1601601494,91,54.43,119.93,5.1,2.46
141,Malé,75,MV,1601601385,78,4.17,73.51,28,3.6
142,Sitka,20,US,1601601499,87,57.05,-135.33,12,1.26
143,Novikovo,100,RU,1601601501,35,51.15,37.89,15.64,6.94
144,Talnakh,90,RU,1601601503,100,69.49,88.4,2,3
145,Ilulissat,100,GL,1601601505,64,69.22,-51.1,4,5.1
146,Moranbah,89,AU,1601601507,39,-22.0,148.05,27.92,6.78
147,Eureka,1,US,1601601509,77,40.8,-124.16,17,4.1
148,Derzhavīnsk,9,KZ,1601601511,58,51.1,66.32,7.35,2.97
149,Maracaçumé,37,BR,1601601513,87,-2.04,-45.96,23.76,2.76
150,Netivot,0,IL,1601601515,73,31.42,34.59,23.89,1.33
151,Ozimek,100,PL,1601601517,99,50.68,18.21,12.22,0.51
152,Kiryat Gat,0,IL,1601601520,81,31.61,34.76,23.89,1.69
153,Gīdam,100,IN,1601601522,89,18.98,81.4,21.56,0.54
154,Isangel,90,VU,1601601291,78,-19.55,169.27,26,5.1
155,Praia,75,CV,1601601526,88,14.92,-23.51,26,8.2
156,Dingle,76,PH,1601601529,78,11.0,122.67,28.73,2.09
157,Moche,45,PE,1601601531,86,-8.17,-79.01,16.57,3.5
158,Pangnirtung,38,CA,1601601395,85,66.15,-65.71,-3.83,2.44
159,Ribeira Grande,64,PT,1601601535,86,38.52,-28.7,20.14,7.07
160,Gambēla,42,ET,1601601537,70,8.25,34.58,21.17,1.57
161,Pristol,5,RO,1601601539,74,44.22,22.71,12.86,1.28
162,Vokhtoga,21,RU,1601601541,85,58.81,41.05,8.41,1.75
163,Balkanabat,0,TM,1601601543,32,39.51,54.37,14.08,2.54
164,Wuchang,94,CN,1601601463,82,44.91,127.15,13.62,4.65
165,Nanortalik,100,GL,1601601319,78,60.14,-45.24,3.15,9.57
166,Neath,100,GB,1601601549,93,51.66,-3.8,9.44,0.89
167,Touros,40,BR,1601601551,74,-5.2,-35.46,26,4.1
168,Aykhal,90,RU,1601601553,92,66.0,111.5,-6,3
169,Meulaboh,100,ID,1601601555,90,4.14,96.13,25.14,2.41
170,Sovetskiy,91,RU,1601601557,88,61.36,63.58,7.31,2.62
171,Miraflores,20,MX,1601601559,22,19.22,-98.81,19,2.6
172,Changji,0,CN,1601601561,52,44.02,87.32,6,2
173,Saint-Pierre,0,RE,1601601564,60,-21.34,55.48,21,3.1
174,Sarangani,100,PH,1601601566,70,5.4,125.46,29.18,3.77
175,Shuyskoye,98,RU,1601601568,87,59.37,41.03,8.58,1.67
176,‘Ewa Beach,1,US,1601601375,48,21.32,-158.01,31,4.6
177,Turaif,40,SA,1601601572,43,31.67,38.66,22,4.6
178,Jackson,1,US,1601601574,19,42.42,-122.83,33,2.6
179,Torbay,90,CA,1601601576,93,47.67,-52.73,16.11,5.1
180,Saint-Augustin,0,CA,1601601578,81,51.23,-58.65,11.66,5.64
181,Codrington,0,AU,1601601580,67,-38.27,141.97,19.67,6.38
182,Beringovskiy,100,RU,1601601583,83,63.05,179.32,5.14,10.91
183,Coromandel,0,BR,1601601585,30,-18.47,-47.2,24.51,2.05
184,Baft,0,IR,1601601587,37,29.23,56.61,14.34,1.78
185,Prieska,0,ZA,1601601589,55,-29.66,22.75,8.5,1.11
186,Berlevåg,75,NO,1601601591,87,70.86,29.09,6,3.1
187,Port-Gentil,89,GA,1601601593,80,-0.72,8.78,24.74,5.32
188,Amapá,100,BR,1601601595,67,1.0,-52.0,25.3,2.22
189,Mogadishu,100,SO,1601601539,85,2.04,45.34,25.47,6.44
190,Aktash,85,RU,1601601599,91,50.3,87.73,-7.01,1.14
191,Hobart,40,AU,1601601561,39,-42.88,147.33,19.44,11.8
192,Jamame,100,SO,1601601604,87,0.07,42.75,24.79,3.65
193,Bose,100,IT,1601601606,90,45.46,8.01,16.11,1.43
194,Ibaté,63,BR,1601601608,35,-21.95,-48.0,28.27,2.93
195,Tuatapere,100,NZ,1601601610,58,-46.13,167.68,13.89,4.47
196,Luján,9,AR,1601601612,70,-34.57,-59.1,15.56,3.25
197,Severnyy-Kospashskiy,99,RU,1601601614,96,59.09,57.8,6.32,1.21
198,Cherskiy,0,RU,1601601616,77,68.75,161.3,2.35,0.15
199,Port Lincoln,0,AU,1601601619,41,-34.73,135.87,24.55,10.25
200,Mīrābād,0,AF,1601601621,29,30.44,61.84,17.7,3.12
201,Lüderitz,5,NA,1601601623,76,-26.65,15.16,11.09,2.41
202,Makakilo City,1,US,1601601625,48,21.35,-158.09,31,4.6
203,Sørland,0,NO,1601601627,80,67.67,12.69,11.71,5.87
204,Ankazoabo,0,MG,1601601629,60,-22.28,44.52,19.78,2.92
205,Kristinestad,100,FI,1601601631,87,62.27,21.38,10.56,3.79
206,Verkhnyaya Inta,98,RU,1601601370,91,65.98,60.31,7.84,6.22
207,Vammala,100,FI,1601601635,100,61.33,22.9,9,3.6
208,Alice Springs,0,AU,1601601565,9,-23.7,133.88,30,5.7
209,Vao,32,NC,1601601640,72,-22.67,167.48,21.07,6.02
210,Maneromango,45,TZ,1601601642,100,-7.2,38.78,20.39,1.49
211,Beloha,31,MG,1601601357,97,-25.17,45.05,17.1,2.27
212,Cáchira,100,CO,1601601646,92,7.74,-73.05,14.07,1.56
213,Ormara,0,PK,1601601648,63,25.21,64.64,28.34,2.69
214,Marystown,100,CA,1601601612,100,47.17,-55.15,15.56,0.45
215,Coari,82,BR,1601601624,78,-4.08,-63.14,24.68,0.81
216,Petropavlovsk-Kamchatskiy,5,RU,1601601654,50,53.05,158.65,13,1
217,Adeje,40,ES,1601601656,60,28.12,-16.73,23.33,5.7
218,Pevek,100,RU,1601601658,79,69.7,170.31,2.55,6.84
219,Mandiana,100,GN,1601601661,90,10.63,-8.68,22.8,2.74
220,Waipawa,2,NZ,1601601663,62,-41.41,175.52,14,12.9
221,Sola,75,VU,1601601665,74,-13.88,167.55,31,3.1
222,Asău,99,RO,1601601667,96,46.43,26.4,8.33,2.14
223,Sartell,75,US,1601601669,70,45.62,-94.21,7.22,2.1
224,Orange Cove,1,US,1601601671,48,36.62,-119.31,33,2.1
225,La Palma,1,US,1601601674,21,33.85,-118.05,34,1.5
226,Koumac,100,NC,1601601676,59,-20.57,164.28,24.04,5.43
227,Ürümqi,3,CN,1601601678,52,43.8,87.6,6,2
228,Shelopugino,100,RU,1601601681,91,51.65,117.56,4.86,1.87
229,Upernavik,0,GL,1601601683,90,72.79,-56.15,-5.68,7.54
230,Willowmore,100,ZA,1601601685,84,-33.29,23.49,7.23,11.57
231,Port Keats,99,AU,1601601687,48,-14.25,129.55,32.29,0.57
232,Tamiahua,100,MX,1601601690,66,21.27,-97.45,21.95,2.41
233,Kimbe,100,PG,1601601692,82,-5.55,150.14,27.92,3.31
234,Bagdarin,100,RU,1601601694,95,54.43,113.6,-0.03,3.01
235,Thompson,75,CA,1601601696,89,55.74,-97.86,1,0.81
236,Acapulco de Juárez,75,MX,1601601418,74,16.86,-99.89,29,4.1
237,Vila do Maio,75,CV,1601601701,88,15.13,-23.22,26,8.2
238,Gilgit,0,PK,1601601703,31,35.92,74.31,16.8,1.21
239,Havre-St-Pierre,1,CA,1601601706,93,50.23,-63.6,7,1.5
240,São Filipe,100,CV,1601601708,80,14.9,-24.5,27.42,3.81
241,Nova Olímpia,95,BR,1601601711,21,-14.8,-57.29,32.08,1.97
242,Trojes,40,AL,1601601713,77,41.76,19.96,15,1
243,Nurota,0,UZ,1601601715,52,40.56,65.69,8,3.1
244,Lata,100,PT,1601601717,82,40.16,-8.33,17.78,6.3
245,Humaitá,24,BR,1601601719,76,-7.51,-63.02,25.71,1.02
246,Beyneu,0,KZ,1601601721,43,45.32,55.2,10.43,4.7
247,El Real de Santa Maria,98,PA,1601601723,94,8.11,-77.73,23.85,0.25
248,Samarai,98,PG,1601601725,85,-10.62,150.67,25.99,8.48
249,Poum,100,NC,1601601728,68,-20.23,164.02,22.44,2.86
250,Zhigansk,100,RU,1601601730,92,66.77,123.37,-0.35,6.24
251,Tautira,40,PF,1601601732,62,-17.73,-149.15,30,2.1
252,Kaitangata,100,NZ,1601601734,58,-46.28,169.85,12.78,2.68
253,Athabasca,99,CA,1601601736,65,54.72,-113.29,12.04,2.46
254,Gamboma,100,CG,1601601738,94,-1.88,15.86,20.31,0.89
255,Ahmadpur,87,IN,1601601742,90,18.7,76.93,21.67,3.32
256,Saint Paul,75,US,1601601689,57,44.94,-93.09,9,4.6
257,Sampit,98,ID,1601601543,86,-2.53,112.95,27.37,0.98
258,Anori,100,BR,1601601748,89,-3.77,-61.64,24.51,1.36
259,Deputatsky,99,RU,1601601750,91,69.3,139.9,-2.62,0.59
260,Lampazos de Naranjo,0,MX,1601601752,34,27.02,-100.52,24.28,2.81
261,Bethel,90,US,1601601754,63,41.37,-73.41,16,1.5
262,Lebedinyy,100,RU,1601601756,93,58.52,125.52,0.44,1.43
263,Raja,59,SS,1601601758,92,8.46,25.68,21.22,0.58
264,Rio Grande,100,BR,1601601761,96,-32.03,-52.1,18.89,0.89
265,Flin Flon,100,CA,1601601763,76,54.77,-101.86,3.54,1.09
266,Bonfim,52,BR,1601601765,56,3.08,-59.95,28.31,2.88
267,Hithadhoo,1,MV,1601601767,68,-0.6,73.08,28.3,0.95
268,Wichian Buri,84,TH,1601601769,83,15.66,101.11,26.8,0.41
269,Adré,86,TD,1601601771,68,13.47,22.2,23.88,1.02
270,Vestmannaeyjar,0,IS,1601601773,66,63.44,-20.27,6.88,2
271,Colinas,96,BR,1601601775,25,-6.03,-44.25,31.21,1.96
272,Nantucket,1,US,1601601777,88,41.28,-70.1,17.22,4.6
273,Port Hardy,75,CA,1601601700,87,50.7,-127.42,16,1
274,Hasaki,20,JP,1601601782,73,35.73,140.83,23.89,1
275,Bani Walid,89,LY,1601601784,27,31.76,13.99,27.4,3.12
276,Manono,0,CD,1601601786,86,-7.3,27.42,21.79,0.62
277,Hegang,100,CN,1601601790,84,47.4,130.37,10.72,4.24
278,Ruska Poliana,0,UA,1601601792,86,49.42,31.92,12.43,5.35
279,Esperance,18,AU,1601601794,77,-33.87,121.9,16,3.6
280,Muros,100,ES,1601601797,84,42.78,-9.06,17.22,3.58
281,Vieques,20,PR,1601601799,88,18.43,-65.83,25,1.5
282,Fortuna,20,US,1601601801,93,40.6,-124.16,16.67,3.1
283,Ocós,75,GT,1601601803,100,14.51,-92.19,26,2.1
284,Eskilstuna,66,SE,1601601805,87,59.37,16.51,12,4.1
