,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
285,Flinders,0,AU,1601601807,44,-34.58,150.86,23.33,1.79
286,Klaksvík,100,FO,1601601810,100,62.23,-6.59,11,10.8
287,Gashua,0,NG,1601601812,48,12.87,11.05,28.87,3.14
288,Umm Kaddadah,0,SD,1601601815,45,13.6,26.69,29.81,4.05
289,Ouallam,0,NE,1601601818,56,14.32,2.09,29.48,6.12
290,Cayenne,12,GF,1601601666,100,4.93,-52.33,26,1
291,Paita,100,PE,1601601822,87,-5.09,-81.11,16.86,4.75
292,Isla Mujeres,75,MX,1601601824,78,21.23,-86.73,28,1.5
293,Erzin,20,TR,1601601826,93,36.96,36.2,18,3.1
294,Muslyumovo,36,RU,1601601829,85,55.3,53.19,9.77,0.78
295,Chui,33,UY,1601601831,76,-33.7,-53.46,13.15,5.31
296,Siloam Springs,1,US,1601601546,53,36.19,-94.54,13.89,3.1
297,Ōfunato,40,JP,1601601835,82,39.07,141.72,18,2.6
298,Sun Valley,1,US,1601601693,8,39.6,-119.78,29,3.1
299,Carutapera,97,BR,1601601715,83,-1.2,-46.02,25.31,3.33
300,Baruun-Urt,97,MN,1601601841,90,46.68,113.28,0.4,4.71
301,Farafangana,5,MG,1601601844,92,-22.82,47.83,20.79,0.85
302,Kapustin Yar,24,RU,1601601846,48,48.58,45.74,13.13,5.31
303,Caloundra,0,AU,1601601848,68,-26.8,153.13,25.56,3.13
304,Shenjiamen,0,CN,1601601851,67,29.96,122.3,23.4,3.08
305,Monte Santo de Minas,44,BR,1601601854,34,-21.19,-46.98,25.99,2.26
306,College,40,US,1601601856,49,64.86,-147.8,19,3.6
307,Trelew,100,AR,1601601859,55,-43.25,-65.31,5.13,6.53
308,Abonnema,75,NG,1601601861,94,4.71,6.79,25,1.78
309,Puerto Colombia,100,CO,1601601863,73,10.99,-74.95,28.29,1.39
310,Lompoc,1,US,1601601865,28,34.64,-120.46,31,3.1
311,Kawhia,97,NZ,1601601868,44,-38.07,174.82,19.44,1.79
312,Santiago del Estero,0,AR,1601601870,34,-27.8,-64.26,20.76,4.98
313,Dikson,100,RU,1601601872,83,73.51,80.55,1.89,9.21
314,Laguna,1,US,1601601786,35,38.42,-121.42,34.44,1.33
315,Queanbeyan,0,AU,1601601876,45,-35.35,149.23,18.89,3.6
316,Pervoye Maya,66,RU,1601601880,100,56.16,44.72,4,1.14
317,Micheweni,41,TZ,1601601882,83,-4.97,39.83,24.97,4.73
318,Labuan,20,MY,1601601884,83,5.28,115.24,27,1.5
319,Port Said,31,EG,1601601886,69,31.26,32.28,26,2.6
320,Oistins,40,BB,1601601888,78,13.07,-59.53,28,7.2
321,Maragogi,3,BR,1601601890,83,-9.01,-35.22,23.69,4.39
322,Lohja,100,FI,1601601892,97,60.25,24.07,9.44,3.13
323,Tiksi,31,RU,1601601894,94,71.69,128.87,-2.98,7.02
324,Homer,90,US,1601601896,81,59.64,-151.55,11,5.7
325,Alto Araguaia,43,BR,1601601898,24,-17.31,-53.22,28.01,1.3
326,Menongue,100,AO,1601601901,58,-14.66,17.69,20.24,2.71
327,São Paulo de Olivença,100,BR,1601601903,96,-3.38,-68.87,23.11,2.73
328,Shimoda,20,JP,1601601905,69,34.67,138.95,23,3.6
329,Constitución,0,CL,1601601908,79,-35.33,-72.42,8.3,4.95
330,Herat Province,0,AF,1601601910,45,34.5,62.0,8.79,1.71
331,Kahului,75,US,1601601912,88,20.89,-156.47,26,5.7
332,Xiuyan,10,CN,1601601915,65,40.29,123.27,16.84,2.8
333,Azángaro,100,PE,1601601787,79,-14.92,-70.22,5.85,2.62
334,Leshukonskoye,75,RU,1601601919,95,64.9,45.76,5.82,1.92
335,Oktyabr'skiy,1,RU,1601601921,85,54.48,53.47,9.16,0.54
336,Vilhena,48,BR,1601601923,50,-12.74,-60.15,25.97,1.39
337,Kasane,92,BW,1601601925,41,-17.82,25.15,25.37,2.48
338,San Buenaventura,0,MX,1601601927,20,27.08,-101.53,26.67,2.24
339,Mporokoso,0,ZM,1601601929,74,-9.37,30.12,16.21,1.27
340,Tolaga Bay,96,NZ,1601601932,64,-38.37,178.3,15.46,3.2
341,Tromsø,75,NO,1601601739,100,69.65,18.96,6,9.3
342,Kodinsk,25,RU,1601601936,96,58.69,99.18,-1.58,0.83
343,Bandarbeyla,22,SO,1601601915,86,9.49,50.81,24.94,7.98
344,Fort Nelson,20,CA,1601601940,31,58.81,-122.7,18,3.6
345,Mahon,100,ES,1601601942,83,39.89,4.27,22,6.2
346,Sistranda,20,NO,1601601944,66,63.73,8.83,13,11.3
347,Eravur,100,LK,1601601947,71,7.77,81.61,25.57,2.44
348,Portland,75,US,1601601874,60,45.52,-122.68,25,2.1
349,La Plata,96,AR,1601601951,71,-34.92,-57.95,15.56,4.3
350,Husavik,0,IS,1601601952,86,66.04,-17.34,-3,2.1
351,Yatou,96,CN,1601601955,85,37.15,122.38,17.73,2.19
352,Diego de Almagro,0,CL,1601601957,44,-26.37,-70.05,13.36,0.36
353,Cockburn Town,36,TC,1601601960,79,21.46,-71.14,29.08,9.66
354,Bougouni,100,ML,1601601962,93,11.42,-7.48,23.22,3
355,Tura,100,IN,1601601964,93,25.52,90.22,24.85,0.87
356,Pitimbu,20,BR,1601601966,83,-7.47,-34.81,25,2.6
357,Ahipara,100,NZ,1601601968,63,-35.17,173.17,15.77,2.58
358,Paracuru,25,BR,1601601970,78,-3.41,-39.03,26.67,10.73
359,Kirakira,49,SB,1601601973,71,-10.45,161.92,28.56,3.84
360,Borogontsy,16,RU,1601601975,91,62.67,131.17,0.11,3.33
361,Virginia Beach,20,US,1601601921,73,36.85,-75.98,22,2.1
362,Aksha,100,RU,1601601979,90,50.28,113.29,0,6.84
363,Wu’an,100,CN,1601601981,93,31.68,112.0,20.13,1.27
364,Buala,23,SB,1601601984,75,-8.14,159.59,28.31,5.11
365,Nome,90,US,1601601986,76,64.5,-165.41,10,7.7
366,Payo,48,ID,1601601988,71,-3.75,103.64,27.8,0.21
367,Maumere,11,ID,1601601990,57,-8.62,122.21,29.44,1.39
368,Laas,90,IT,1601601992,100,46.62,10.7,13.89,3.1
369,San Jerónimo,9,PE,1601601995,63,-11.95,-75.28,11.42,1.52
370,Ust-Maya,98,RU,1601601997,77,60.42,134.53,2.81,1.92
371,Jämsä,100,FI,1601601999,100,61.86,25.19,6,1
372,Tahe,100,CN,1601602001,84,52.33,124.73,6.86,2.68
373,Longyearbyen,75,SJ,1601602003,95,78.22,15.64,0,1.5
374,Clyde River,75,CA,1601602005,92,70.47,-68.59,-4,6.7
375,Katsuura,20,JP,1601602008,73,35.13,140.3,23.89,3.1
376,Rochegda,100,RU,1601602010,96,62.8,43.25,7.71,1.44
377,Tommot,100,RU,1601602012,79,58.96,126.29,3.08,3.51
378,Davila,75,PH,1601602014,79,18.47,120.58,29,2.1
379,Nouakchott,0,MR,1601602016,45,18.09,-15.98,31,8.7
380,Batticaloa,100,LK,1601602018,71,7.71,81.69,25.86,2.36
381,Gaffney,1,US,1601602020,80,35.07,-81.65,20,0.45
382,Bloemhof,0,ZA,1601602023,47,-27.65,25.61,8.79,1.87
383,Batagay-Alyta,8,RU,1601602026,82,67.8,130.41,-3.4,1.93
384,Poso,84,ID,1601602028,55,-1.4,120.75,30.29,1.2
385,Bjørnevatn,75,NO,1601602030,87,69.67,29.98,7,3.6
386,Cap Malheureux,0,MU,1601602032,80,-19.98,57.61,19.44,1.34
387,Novy Urengoy,100,RU,1601602034,93,66.08,76.63,4.44,3.56
388,Ariquemes,79,BR,1601601775,77,-9.91,-63.04,24.92,0.97
389,Kiryat Shmona,40,IL,1601602038,65,33.21,35.57,25,2.6
390,Dindori,7,IN,1601602040,64,22.95,81.08,20.46,0.74
391,Kutum,52,SD,1601602043,46,14.2,24.67,25.01,1.91
392,Sioux Lookout,90,CA,1601601994,86,50.1,-91.92,1,1.5
393,Kisangani,66,CD,1601602047,96,0.52,25.2,21.29,0.38
394,Senno,45,RU,1601602049,79,59.53,33.92,7.98,2.78
395,Sungai Penuh,99,ID,1601602051,95,-2.08,101.38,19.06,1.14
396,São Joaquim,100,BR,1601602053,76,-28.29,-49.93,17.67,1.43
397,Luwingu,0,ZM,1601602056,58,-10.26,29.93,15.91,1.12
398,Mehamn,97,NO,1601602058,85,71.04,27.85,7.44,3.47
399,Karasjok,100,NO,1601602060,93,69.47,25.51,8,2.1
400,Vărşag,100,RO,1601602062,88,46.52,25.35,12.22,0.89
401,Praia,75,CV,1601602064,88,14.92,-23.51,26,8.2
402,Opuwo,0,NA,1601602066,44,-18.06,13.84,11.32,0.83
403,Walvis Bay,0,NA,1601602068,70,-22.96,14.51,10,2.1
404,Palmares do Sul,0,BR,1601602071,80,-30.26,-50.51,21.44,4.07
405,Iqaluit,75,CA,1601602012,85,63.75,-68.51,-4,2.1
406,Uppsala County,14,SE,1601601827,100,60.0,17.75,11,3.6
407,Mokhsogollokh,0,RU,1601602077,78,61.47,128.92,2.12,1.04
408,Hualmay,50,PE,1601602079,85,-11.1,-77.61,16.37,4.82
409,Castro Daire,100,PT,1601601842,8,40.9,-7.93,17.22,3.58
410,Chapleau,75,CA,1601602083,93,47.84,-83.4,2,3.6
411,Ambilobe,1,MG,1601602086,91,-13.2,49.05,20.4,1.48
412,Banda Aceh,100,ID,1601602089,76,5.56,95.32,27.58,4.25
413,San Quintín,0,MX,1601602091,35,30.48,-115.95,28.22,4.9
414,Castellarano,100,IT,1601602093,92,44.51,10.73,16.67,2.15
415,Bahir Dar,73,ET,1601602095,85,11.59,37.39,14.48,1.93
416,San Patricio,40,MX,1601602016,79,19.22,-104.7,30,5.1
417,Fereydūnkenār,0,IR,1601602099,63,36.69,52.52,19.14,2.23
418,Manacapuru,20,BR,1601602101,83,-3.3,-60.62,27,2.1
419,Treinta y Tres,61,UY,1601602103,80,-33.23,-54.38,11.89,4.16
420,Coyhaique,100,CL,1601602105,80,-45.58,-72.07,1,2.1
421,Hervey Bay,40,AU,1601602107,50,-25.3,152.85,27.22,4.6
422,Alès,100,FR,1601601908,7,44.13,4.08,15,0.45
423,Kargopol',58,RU,1601602111,93,61.51,38.95,8.07,1.57
424,Abu Dhabi,0,AE,1601602080,28,24.47,54.37,30,1.5
425,Salalah,20,OM,1601602116,83,17.02,54.09,24,1.5
426,Cidreira,21,BR,1601601856,77,-30.18,-50.21,21.78,7.05
427,Avera,1,US,1601602120,88,33.19,-82.53,19,3.04
428,Khanskaya,100,RU,1601602121,89,44.68,39.96,14.16,0.86
429,Hobyo,32,SO,1601601949,89,5.35,48.53,24.78,7.24
430,Broome,90,US,1601602125,66,42.25,-75.83,12,2.1
431,Mount Gambier,0,AU,1601602068,49,-37.83,140.77,23,5.7
432,Finschhafen,100,PG,1601602130,79,-6.6,147.87,27.14,5.08
433,Ballina,0,AU,1601602132,69,-28.87,153.57,26.11,5.7
434,Muhos,53,FI,1601602134,100,64.81,25.99,8.33,2.1
435,Marquette,77,US,1601602136,88,46.53,-87.63,3.89,2.24
436,Mangai,34,CD,1601602138,99,-4.05,19.53,20.6,0.75
437,Kaeo,100,NZ,1601602141,58,-35.1,173.78,15.74,3.42
438,Cocobeach,75,GA,1601602143,83,1.0,9.58,26,3.6
439,Lithakia,40,GR,1601602145,77,37.72,20.83,17,2.19
440,Makkah al Mukarramah,0,SA,1601602148,41,21.43,39.83,26.33,0.99
441,Ayan,0,RU,1601602150,55,56.45,138.17,10.38,0.99
442,Pinos,5,MX,1601602152,49,22.3,-101.57,17,2.6
443,Tūkrah,89,LY,1601602155,53,32.53,20.58,22.68,3.38
444,Nelson Bay,0,AU,1601602157,46,-32.72,152.15,25,3.6
445,Rawson,96,AR,1601602159,58,-43.3,-65.1,5.39,7.93
446,Port Augusta,0,AU,1601602161,26,-32.5,137.77,29,11.8
447,Coquimbo,0,CL,1601602164,87,-29.95,-71.34,11,4.1
448,Nizhniy Tsasuchey,100,RU,1601602166,93,50.52,115.13,1.4,6.2
449,Kangaatsiaq,100,GL,1601602168,76,68.31,-53.46,3.17,7.43
450,Poyarkovo,100,RU,1601602171,73,49.6,128.68,11.22,5.81
451,Bilibino,80,RU,1601602173,91,68.05,166.44,0.04,0.65
452,Nazaré,46,BR,1601602176,92,-13.04,-39.01,21.9,1.12
453,Gīdolē,86,ET,1601602178,90,5.65,37.37,14.98,1.46
454,Bonavista,100,CA,1601602006,82,48.65,-53.11,15,6.28
455,Liliongan,100,PH,1601602182,78,7.36,124.79,27.43,0.73
456,Babstovo,100,RU,1601602184,85,48.12,132.48,9.82,3.88
457,Ruangwa,99,TZ,1601602027,88,-10.07,38.93,21.67,1.67
458,Nabire,98,ID,1601601911,63,-3.37,135.48,29.93,1.92
459,Atocha,0,BO,1601602190,37,-20.93,-66.23,12.65,2.1
460,Todos Santos,4,MX,1601602192,79,23.45,-110.22,28.89,0.89
461,Puerto Escondido,90,MX,1601602194,65,15.85,-97.07,28,3.1
462,Shahreza,0,IR,1601602196,46,32.03,51.88,10.88,0.42
463,Scarborough,15,GB,1601602198,93,54.28,-0.4,7.22,1
464,Rosarito,5,MX,1601602200,29,32.33,-117.03,31,5.1
465,Kokopo,100,PG,1601602203,86,-4.35,152.26,22.88,3.79
466,Neiafu,75,TO,1601602205,74,-18.65,-173.98,29,2.6
467,El Salvador,75,SV,1601601948,94,13.83,-88.92,27,1.5
468,Araci,5,BR,1601602209,88,-11.33,-38.97,19.82,3.17
469,Comodoro Rivadavia,40,AR,1601602007,59,-45.87,-67.5,3,5.7
470,Vaitape,3,PF,1601602213,77,-16.52,-151.75,26.45,9.24
471,Galle,94,LK,1601602216,79,6.04,80.22,27.2,5.47
472,Gwadar,0,PK,1601602219,63,25.12,62.33,28.58,3.49
473,Hakkâri Province,2,TR,1601602221,67,37.58,44.17,7.07,0.45
474,‘Āhuimanu,20,US,1601602039,66,21.44,-157.84,30,4.1
475,Abengourou,99,CI,1601602225,99,6.73,-3.5,21.12,0.98
476,Leh,0,IN,1601601964,61,34.17,77.58,2.93,1.15
477,Lacolle,0,CA,1601602229,89,45.08,-73.37,13.33,2.99
478,Navrongo,39,GH,1601602232,96,10.9,-1.09,22.75,2.5
479,Americus,1,US,1601602108,68,32.07,-84.23,21,3.36
480,Angoulême,100,FR,1601602236,93,45.65,0.15,13.33,8.2
481,Richards Bay,81,ZA,1601602239,80,-28.78,32.04,17.15,3.42
482,Istok,0,XK,1601602241,81,42.78,20.49,9,1
483,Tay Ninh,99,VN,1601602243,74,11.3,106.1,29.46,0.19
484,Lüshunkou,0,CN,1601602245,68,38.8,121.27,20,4
485,Adrar,0,MR,1601602247,18,20.5,-10.07,32.16,7.99
486,Tezu,100,IN,1601602251,68,27.92,96.17,26.84,0.53
487,Alta Floresta,73,BR,1601602253,91,-9.88,-56.09,21.57,1.43
488,Los Algarrobos,100,PA,1601602255,86,8.5,-82.43,27.78,0.45
489,Fatehgarh,0,IN,1601602258,59,27.37,79.63,25.29,1.4
490,Salinópolis,99,BR,1601602260,83,-0.61,-47.36,25.94,4.34
491,Kudahuvadhoo,100,MV,1601602262,77,2.67,72.89,27.87,3.9
492,Faro,96,PT,1601602265,82,37.02,-7.93,18,5.1
493,Geraldton,75,AU,1601602267,68,-28.77,114.6,19,2.6
494,Slatina,37,RO,1601602269,82,44.43,24.37,13.33,2.1
495,Oltu,57,TR,1601602271,51,40.55,42.0,13.46,2.45
496,Madona,17,LV,1601602273,85,56.85,26.22,7.89,2.45
497,Atambua,0,ID,1601602275,45,-9.11,124.89,30.07,2.2
498,Tongren,100,CN,1601602277,85,27.72,109.19,21.11,0.73
499,Arrifes,75,PT,1601602280,82,37.77,-25.7,20,4.1
500,Viranşehir,0,TR,1601602282,48,37.24,39.76,18.52,1.27
501,Burnie,96,AU,1601602245,69,-41.07,145.92,16.67,4.47
502,Eston,75,CA,1601602286,43,51.15,-108.75,11,3.6
503,Mīzan Teferī,12,ET,1601602288,81,6.98,35.58,15.93,1.4
504,Saint George,1,US,1601602113,5,37.1,-113.58,34,0.63
505,Port Hawkesbury,1,CA,1601602178,87,45.62,-61.35,14,2.1
506,Kuloy,97,RU,1601602294,94,61.03,42.49,8.61,1.85
507,Kavaratti,50,IN,1601602296,77,10.57,72.64,27.28,4.4
508,Shingū,20,JP,1601602220,60,33.73,135.98,24,2.1
509,Chililabombwe,4,ZM,1601602300,44,-12.36,27.82,15.19,1.76
510,Eyl,22,SO,1601602303,83,7.98,49.82,24.5,3.74
511,Chlórakas,40,CY,1601602305,72,34.8,32.41,19,2.6
512,Zabid,4,YE,1601602308,70,14.2,43.32,29.73,2.38
513,Nueva Helvecia,77,UY,1601602310,86,-34.3,-57.23,10.56,5.99
514,Vardø,75,NO,1601602130,81,70.37,31.11,7,1.5
515,Rocha,0,UY,1601602314,79,-34.48,-54.33,9.94,3.62
516,Henties Bay,0,NA,1601602316,82,-22.12,14.28,10,0.45
517,Romny,100,UA,1601602318,66,50.75,33.47,12.79,6.5
518,Noril'sk,90,RU,1601602320,100,69.35,88.2,2,3
519,Ketchikan,90,US,1601602312,93,55.34,-131.65,13,1.5
520,Aden,42,YE,1601602325,82,12.78,45.04,28.74,6.89
521,Kita,100,ML,1601602327,95,13.03,-9.49,24.33,2.56
522,Maridi,11,SS,1601602330,92,4.92,29.47,19.02,1.46
523,Celestún,100,MX,1601602332,89,20.87,-90.4,25.63,5.9
524,Grand Gaube,0,MU,1601602334,79,-20.01,57.66,19.44,1.34
525,Dhidhdhoo,8,MV,1601602337,76,6.88,73.1,27.54,4.89
526,Kandalaksha,43,RU,1601602339,91,67.16,32.41,8.43,1.55
527,Najrān,0,SA,1601602204,21,17.49,44.13,22,0.52
528,Timrå,99,SE,1601602343,93,62.49,17.33,10,4.1
529,Kalabo,0,ZM,1601602345,49,-14.97,22.68,22.34,1.81
530,Tambura,94,SS,1601602347,88,5.6,27.47,20.37,0.8
531,Jiexiu,100,CN,1601602149,32,37.02,111.91,15.53,0.33
532,Drumheller,19,CA,1601602207,44,51.46,-112.71,16.67,0.45
533,Road Town,100,VG,1601602353,88,18.42,-64.62,26.67,4.92
534,Jalu,0,LY,1601602355,41,29.03,21.55,24.74,2.82
535,Mugumu,0,TZ,1601602357,70,-1.85,34.7,16.91,1.65
536,Pailitas,100,CO,1601602360,86,8.96,-73.63,24.72,1.47
537,Canyon Lake,0,US,1601602362,44,29.88,-98.26,22.78,0.45
538,Moose Factory,90,CA,1601602364,100,51.26,-80.61,4,3.6
539,Ust-Tsilma,100,RU,1601602366,88,65.44,52.15,8.34,3.46
540,Maţāy,0,EG,1601602369,71,28.42,30.78,22.99,4.99
541,Novoleushkovskaya,91,RU,1601602370,62,46.0,39.99,14.61,4.25
542,Gobindpur,75,IN,1601602373,94,22.63,86.07,25,1.6
543,São João da Barra,25,BR,1601602375,84,-21.64,-41.05,23.75,8.74
544,Kloulklubed,75,PW,1601602377,70,7.04,134.26,30,3.6
545,Half Moon Bay,5,US,1601602379,54,37.46,-122.43,30,2.6
546,Selje,38,NO,1601602381,53,62.05,5.35,15.56,4.94
547,Tocopilla,24,CL,1601602384,62,-22.09,-70.2,16.92,3.19
548,Agua Dulce,100,MX,1601602386,71,18.13,-94.13,25.38,6.58
549,Port-de-Bouc,100,FR,1601602388,87,43.4,4.98,17,4.1
550,Kysyl-Syr,19,RU,1601602390,74,63.9,122.76,1.93,3.12
551,Mackenzie,1,CA,1601602392,55,55.3,-123.17,18,1
552,Krasnoarmeysk,22,RU,1601602394,54,51.02,45.7,11.11,1.79
553,Sydney,0,AU,1601602261,23,-33.87,151.21,24,7.2
554,Puerto Baquerizo Moreno,98,EC,1601602398,84,-0.9,-89.6,19.07,5.11
555,Pemangkat,55,ID,1601602401,69,1.17,108.97,29.22,2.55
556,Juegang,26,CN,1601602403,71,32.32,121.19,24.23,3.63
557,San Andrés,100,CO,1601602405,74,12.58,-81.7,28.92,3.34
558,Pānsemāl,41,IN,1601602407,84,21.65,74.7,24.31,2.98
559,Port Jervis,1,US,1601602355,81,41.38,-74.69,11,1.26
560,Palmital,86,BR,1601602411,29,-22.79,-50.22,29.04,2.72
561,Mancherial,98,IN,1601602414,83,18.87,79.43,25.24,1.64
562,Maniitsoq,100,GL,1601602416,86,65.42,-52.9,3.95,7.52
563,Araouane,0,ML,1601602418,25,18.9,-3.53,34.65,4.22
564,Oddur,94,SO,1601602421,78,4.12,43.89,22.53,2.52
565,Cururupu,7,BR,1601602423,87,-1.83,-44.87,24.54,2.37
566,Bereda,100,ES,1601602425,100,43.27,-7.54,15,7.6
567,Hibbing,90,US,1601602411,55,47.43,-92.94,3.33,6.2
